Title,Link,Publish_date,Description,classification
iAngels Israeli Deal Digest – November 2018,https://www.iangels.com/2018/12/iangels-israeli-deal-digest-november-2018-2/,"Wed, 05 Dec 2018 15:57:44 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This November we tracked 36 announced deals totaling $875 million, and 4 acquisitions totaling $200 million. IT & Enterprise Software was the leading sector for this month with TripActions raising $154m in a third round,  Habana Labs a company that is developing processors optimized […]",other
iAngels Israeli Deal Digest – October 2018,https://www.iangels.com/2018/11/iangels-israeli-deal-digest-october-2018-2-2/,"Sun, 11 Nov 2018 08:26:17 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This October we tracked 41 announced deals totaling $611M, and ten exits totaling in $3.2B IT & Enterprise software was the leading sector this month with Cognata raising $18.5M in a second funding round, JFrog, a company that integrates […]",fund
iAngels partners with Duke TAMID,https://www.iangels.com/2018/10/iangels-partners-with-duke-tamid/,"Thu, 25 Oct 2018 07:06:23 +0000","iAngels is happy to announce a new partnership with Duke University’s TAMID Investment Group.  We’ve made it possible that iAngels’ portfolio companies and investors are now eligible to receive pro bono consulting with Duke University’s top business organization, after having a great run this summer with their very smart students participating in our internship program. About […]",fund
Mor Assia featured at EIF’s European VC  Conference,https://www.iangels.com/2018/10/mor-assia-eif-conference/,"Wed, 24 Oct 2018 12:37:17 +0000",European VC — Ugly duckling or beautiful swan? Europe’s leading provider of risk financing for SMEs. Cornerstone investor in VC and PE funds. Making debt financing more affordable for entrepreneurs. This article first appears on Medium here                    Intro video to the EIF’s 2018 VC conference #uglyduck18 EIF speakers […],fund
Data is the new currency – Shaping privacy ownership and control,https://www.iangels.com/2018/10/data-is-the-new-currency-shaping-privacy-ownership-and-control/,"Tue, 23 Oct 2018 11:40:53 +0000","iAngels co-founder and co-CEO Mor Assia writes about shaping privacy ownership and control The following was featured in C-Tech by Calcalist  By Mor Assia   25.10.18 As data is becoming the new currency, the privacy and ownership of personal data are undergoing major transformations. The new European regulation regarding data protection (GDPR) is promising to put […]",other
CNBC Crypto Trader – Israel’s blockchain community,https://www.iangels.com/2018/10/cnbc-crypto-trader-israels-blockchain-community/,"Tue, 23 Oct 2018 10:36:58 +0000","We were honored when CNBC Africa approached iCapital to feature and curate a show dedicated to Israel’s vibrant blockchain ecosystem. Watch CNBC anchor, Ran Neu-Ner, being taken behind the scene with Agada Nameri, iCapital.io‘s General Manager, meeting with some of the biggest players in blockchain including a feature interview with iAngels’ Shelly and Mor.",other
VC Breakfast Club Talk Series – The Big Data Discussion,https://www.iangels.com/2018/10/vc-breakfast-club-talk-series-the-big-data-discussion/,"Wed, 10 Oct 2018 13:24:14 +0000","VC Breakfast Club: Expert Panel on Data Management iAngels Founding Partner, Mor Assia, led our recent VC Breakfast Club discussion with three founders, from the Enterprise Software world, specialists in data management. Data has received significant attention, this year with the introduction of GDPR. A major regulatory step for Europe, who’s aim is not to simply […]",other
iAngels Israeli Deal Digest – September 2018,https://www.iangels.com/2018/10/iangels-israeli-deal-digest-september-2018/,"Mon, 01 Oct 2018 21:40:21 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This September we tracked 23 announced investment rounds totaling $867 million, with a huge $400 million round raised by Compass at a $4.4 billion valuation.  This month we also tracked 3 exits totaling in $1.8 billion, led by the acquisition of Mazor Robotics […]",fund
iAngels Israeli Deal Digest – August 2018,https://www.iangels.com/2018/09/iangels-israeli-deal-digest-august-2018/,"Sun, 02 Sep 2018 06:38:48 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This August we tracked 17 announced investment rounds totaling $326 million, with a notable focus towards later stages – This month there were no Seed rounds announced and only $26 million raised in A rounds across 6 startups.  Read on […]",fund
What’s Driving Israeli Innovation Right Now?,https://www.iangels.com/2018/08/whats-driving-israeli-innovation-right-now/,"Tue, 07 Aug 2018 15:29:42 +0000","By Mor Assia Artificial intelligence and blockchain are possibly the two most influential technologies currently fueling innovation at the moment and are anticipated to create radical shifts in almost every industry. Israeli startups are at the forefront of both of these sectors, receiving notable attention and investments from global players which are further propelling Israeli […]",fund
iAngels Israeli Deal Digest – July 2018,https://www.iangels.com/2018/08/iangels-israeli-deal-digest-july/,"Tue, 07 Aug 2018 13:38:39 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This July we tracked 34 announced investment rounds totaling $673 million, and 5 exits totaling $1.235 billion, including the acquisition of Datorama by SalesForce for $850 million and the acquisition of RedKix by Facebook for a reported $100 million.  This was Also […]",fund
Portfolio company Zooz gets acquired by PayU,https://www.iangels.com/2018/07/portfolio-company-zooz-gets-acquired-by-payu/,"Tue, 24 Jul 2018 17:47:18 +0000","By Mor Assia, iAngels founding partner This week, marked another win for Israeli technology. PayU, subsidiary of Naspers (JSE:NPN), also known as PayPal of the developing world, announced that it had acquired Zooz. This will be iAngels’ 6th portfolio acquisition since the firm was founded in 2014. Zooz, which operates in the payments space, has a […]",Merge & Aquistion
Shelly Hod Moyal Leads Panel at The International Institute for Strategic Leadership Dialogue,https://www.iangels.com/2018/07/shelly-hod-moyal-leads-panel-at-the-international-institute-for-strategic-leadership-dialogue/,"Tue, 17 Jul 2018 08:34:11 +0000","Shelly Hod Moyal, Founding Partner at iAngels and iCapital, leads a panel at The International Institute for Strategic Leadership Dialogue at the King David Hotel on July 17th, 2018 Click here to watch the panel  —— Panelists included:  Gal Landau Yaari, Blockchain & Crypto Senior Researcher Ido Sadeh Man, Founder, Saga Foundation Dovev Goldstein, CMO Firmo Network […]",other
Mor Assia Moderates Panel at Fintech Junction Tel Aviv 2018,https://www.iangels.com/2018/07/mor-assia-moderates-panel-at-fintech-junction-tel-aviv-2018/,"Sun, 15 Jul 2018 12:26:56 +0000","Mor Assia, founding partner at iAngels, moderated a panel discussion amongst founders, investors and CEOs about the trends they’re observing in the Fintech space for 2018/2019 Click here to watch the panel discussion",fund
Taranis has made Forbes’ list of the 25 Most Innovative AgTechs,https://www.iangels.com/2018/07/taranis-has-made-forbes-list-of-the-25-most-innovative-agtechs/,"Sun, 15 Jul 2018 11:44:11 +0000","The following article was originally published on Forbes online version  The 25 Most Innovative AgTech Startups In 2018 By Alex Knapp, Maggie McGrath and Chloe Sorvino The problems facing America’s farmers in 2018 are as diverse as their crop varieties: Labor shortages. Soil health. Food spoilage. Trade wars. Lack of access to data on seed […]",other
Shelly Hod Moyal on ILTV,https://www.iangels.com/2018/07/shelly-hod-moyal-on-iltv/,"Mon, 09 Jul 2018 08:32:28 +0000","Shelly Hod Moyal, Founding Partner at Iangels, speaks at ILTV Studio about the world’s most capital-efficient startup ecosystem for early stage investors. Click here to watch the interview! Also featured on the ILTV new site  ",fund
Grid4C Named a Key Industry Player in Navigant Research’s IoT and Analytics for Utilities Research Report,https://www.iangels.com/2018/07/grid4c-named-a-key-industry-player-in-navigant-researchs-iot-and-analytics-for-utilities-research-report/,"Sun, 08 Jul 2018 13:39:13 +0000","The following article was originally published on Business Wire online version  Leading Market Research Firm Highlights Grid4C’s “Ability to Differentiate with AI Over Competitors” AUSTIN, Texas–(BUSINESS WIRE)–Grid4C, a leader in AI and Machine Learning solutions for the energy industry, announced today it has been named a Key Industry Player in Navigant Research’s IoT and Analytics […]",other
iAngels Israeli Deal Digest – June 2018,https://www.iangels.com/2018/07/iangels-israeli-deal-digest-june/,"Wed, 04 Jul 2018 20:28:20 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This June we tracked 38 announced investment rounds totaling $841 million, and 2 exits totaling $317 million, including the acquisition of EPD by Philips in a deal that could potentially reach up to $530M, based on milestone payments. This month we […]",fund
Shelly Hod Moyal & Mor Assia at TechCrunch TLV 2018,https://www.iangels.com/2018/07/shelly-hod-moyal-mor-assia-at-techcrunch-tlv-2018/,"Mon, 02 Jul 2018 15:16:24 +0000","Mor Assia and Shelly Hod Moyal were amongst the participants chosen to speak at the TechCrunch Tel Aviv conference in June 2018. The conference gathered together some of Israel’s greatest thinkers, makers and investors to share their insight and expertise on one of the nation’s hottest exports — new mobility technologies. This is the first time the day-long […]",fund
Israeli Social Trading co eToro Raises $100m,https://www.iangels.com/2018/07/israeli-social-trading-co-etoro-raises-100m/,"Sun, 01 Jul 2018 13:02:41 +0000",The following article was originally published on Globes online edition eToro has raised $162 million to date and the latest financing round was completed at a company valuation of $800 million. Israel social trading and multi asset brokerage company eToro has raised $100 million in its eight financing round led by China Minsheng Financial and […],fund
Taranis Acquires Aerial Imagery Platform Mavrx,https://www.iangels.com/2018/07/taranis-acquires-aerial-imagery-platform-mavrx/,"Sun, 01 Jul 2018 12:04:37 +0000","The following article was originally published on AgFunderNews online edition   Israeli precision agriculture intelligence platform Taranis is acquiring the assets of Mavrx, the San Francisco-based aerial imagery platform. Taranis will integrate Mavrx’s aircraft-based ultra-high resolution (UHR) imagery product into its AI2 product line and bring existing Mavrx customers onto the Taranis platform. Taranis is also […]",Merge & Aquistion
"Noa Ruschin Rimini, founder of Grid4C, selected as the cover story and “Top Utilities Solution Provider 2018” by CIO Review",https://www.iangels.com/2018/07/noa-ruschin-rimini-founder-of-grid4c-selected-as-the-cover-story-and-top-utilities-solution-provider-2018-by-cio-review/,"Sun, 01 Jul 2018 11:54:33 +0000","The following article was originally published in CIO Review print and online editions Grid4C: AI-Powered Energy Insights The Internet, electricity, and cellular phones are all technological innovations that have given rise to new business models, have radically transformed economies, and forever changed the way that mankind lives and works. Artificial Intelligence (AI) and machine learning […]",other
Applitools Wins 2018 Red Herring Top 100 Award,https://www.iangels.com/2018/07/applitools-in-the-news/,"Sun, 01 Jul 2018 11:04:04 +0000","The following article was originally published on PR Newswire online  Company recognized as a top startup for its AI powered visual UI testing and monitoring approach to Application Visual Management SAN MATEO, Calif., June 26, 2018 /PRNewswire/ — Applitools (https://applitools.com/), the leader in Application Visual Management, today announced it won the 2018 Red Herring Top […]",other
"Serverless Computing, a Paradigm Shift for Software Development",https://www.iangels.com/2018/06/serverless-computing-a-paradigm-shift-for-software-development/,"Thu, 14 Jun 2018 11:59:48 +0000","By Avi Arnon, Investments Team The ever growing expectation of customers for great software products has subsequently brought companies to increase their rate of code deployment and adopt a new “microservices” approach to software development. This approach involves splitting a software application into pieces that can be independently updated in quick release cycles, meeting the […]",other
iAngels Israeli Deal Digest – May 2018,https://www.iangels.com/2018/06/iangels-israeli-deal-digest-may/,"Tue, 05 Jun 2018 09:11:35 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This May we tracked 24 announced deals totaling $183 million, in addition to a massive $200 million asset-backed credit loan raised by BlueVine. It was also a good month for iAngels portfolio companies with indeni and Lending Express raising new […]",fund
iAngels Israeli Deal Digest – April 2018,https://www.iangels.com/2018/05/iangels-israeli-deal-digest-april/,"Sun, 06 May 2018 20:57:38 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This April we tracked 27 announced deals totaling $384 million, and six exits totaling in $476 million.  Cybersecurity was the leading sector this month both in funding and in exits, with Armis, an IOT security raising $30M; ObserveIT, a solution to identify and eliminate […]",fund
iAngels Israeli Deal Digest – March 2018,https://www.iangels.com/2018/04/iangels-israeli-deal-digest-march/,"Tue, 03 Apr 2018 13:44:18 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This March we tracked 26 announced deals totaling $593M, and three exits totaling $145M.  Blockchain was one of the leading sectors this month raising a total of $251M, with Orbs offering Blockchain as a service raising $106M, Saga, a developer of a new […]",other
Founder Interview: Dr Sagi Lazarov & Nimrod Luria from Prifender,https://www.iangels.com/2018/04/founder-interview-dr-sagi-lazarov-nimrod-luria-from-prifender/,"Mon, 02 Apr 2018 07:44:24 +0000",We’re just a month away from seeing the General Data Protection Regulation (GDPR) introduced across Europe which will replace the old Data Protection Directives that were drawn up in the 1990s. A lot has changed in two decades. Vast swathes of personal data are now generated daily and the upgrade in data protection laws for […],other
10 Considerations for Successful Scaling Up,https://www.iangels.com/2018/03/10-considerations-for-successful-scaling-up/,"Thu, 08 Mar 2018 15:15:33 +0000","by Efrat Dagan  Congratulations, you have just landed round A and you can finally hire some great people to take your team to the next level, you have so much on your mind now. Your team is small and you are in a race to get your product to market. As you scale, you will probably run […]",other
iAngels Israeli Deal Digest – February 2018,https://www.iangels.com/2018/03/iangels-israeli-deal-digest-february/,"Thu, 01 Mar 2018 13:51:51 +0000","Welcome to the iAngels Monthly Deal Digest, a summary of movements in the Israeli startup market. This February we tracked 25 announced deals totaling $326M, and 2 exits totaling $52.5M, including the acquisition of Ivy by houzz for a reported $35M. The leading sectors this month were Cybersecurity, with 4 financing rounds (Perception Point, CyberX, Morphisec and Aperio), Fintech with 4 financing […]",fund
iAngels portfolio companies Arbe Robotics and Taranis mentioned amongst Siliconrepublic.com 23 amazing startups in Tel Aviv,https://www.iangels.com/2018/03/iangels-portfolio-companies-arbe-robotics-and-taranis-mentioned-amongst-siliconrepublic-com-23-amazing-startups-in-tel-aviv/,"Thu, 01 Mar 2018 13:18:24 +0000","This article was originally published on siliconrepublic.com  Tel Aviv is alive with tech start-ups and it is a city with an unwavering eye on the future. The second most populous city in Israel, and effectively the country’s business capital, Tel Aviv is a firm fixture on the world’s technology map. It is clearly a city […]",other
"Outdoorsy, the ‘Airbnb of RVs,’ rolls up $25 million in fresh funding",https://www.iangels.com/2018/03/outdoorsy-the-airbnb-of-rvs-rolls-up-25-million-in-fresh-funding/,"Thu, 01 Mar 2018 13:09:44 +0000","This article was originally published on techcrunch.com According to serial entrepreneur Jeff Cavins, more than 35 million people each year look to rent an RV — 38 percent of them so-called millennials. Yet they often walk away from the experience empty-handed. The reason, he says: There are fewer than 100,000 commercially owned vehicles available from […]",other
How Banks Can Survive in an Increasingly Competitive Financial Landscape,https://www.iangels.com/2018/02/banks-can-survive-increasingly-competitive-financial-landscape/,"Tue, 20 Feb 2018 15:55:13 +0000","By Daniel Bahar For quite a few years now, financial institutions considered fintech companies as the industry’s biggest potential disruptor, as confirmed by KMPG’s recent survey. As such, many financial institutions have been formulating their fintech strategies, opening innovation hubs and investing in fintech startups to some extent. However, collaboration levels have been limited to […]",fund
iAngels Israeli Deal Digest – January 2018,https://www.iangels.com/2018/02/iangels-israeli-deal-digest-january2018/,"Sun, 04 Feb 2018 13:57:14 +0000","Welcome to the iAngels monthly Deal Digest, a summary of movements in the Israeli startup market. This month we are starting off 2018 with 19 announced deals totaling $235M, including 6 exits totaling $247M, including WeissBeerger, an iAngels portfolio company acquired by the world’s largest brewer for an estimated $80M. Read on for the full scoop!   January 2018 Investment Highlights […]",Merge & Aquistion
Where I’m Investing in Blockchain – Shelly Hod Moyal,https://www.iangels.com/2018/01/im-investing-blockchain/,"Sun, 21 Jan 2018 16:40:33 +0000","Uncertainties regarding regulation may discourage investors from backing blockchain companies. iAngels co-CEO shares blockchain investment insights Written by Shelly Hod Moyal, this article was originally published in CTech There are many similarities between the emergence of blockchain and the early stages of the internet. The Internet caused a lot of hype early on, but its […]",fund
The Israeli Women VCs Taking on Blockchain,https://www.iangels.com/2018/01/israeli-women-vcs-taking-blockchain/,"Sun, 21 Jan 2018 16:16:08 +0000",The following article was originally published in LadyGlobes Magazine print and online editions Mor Assia and Shelly Hod Moyal say theirs is the venture capital fund of the future  – and a 300% return is hard to argue with. “This technology is no less revolutionary than was the invention of electricity. Our generation grew up […],fund
Israel-Based Crowdfunding Platform iAngels Launches Blockchain Fund,https://www.iangels.com/2018/01/israel-based-crowdfunding-platform-iangels-launches-blockchain-fund/,"Mon, 15 Jan 2018 09:13:12 +0000","This article was originally published in Ctech by Calcalist iAngels is raising a dedicated blockchain fund that has already invested $20 million, co-founder Shelly Hod Moyal said in an interview with Calcalist on Monday. The fund is currently going after additional investors, targeting $100 million in commitments by the end of 2018. Founded in 2013, […]",fund
Mor Assia speaking at Globes Israel Business Conference,https://www.iangels.com/2018/01/mor-assia-give-insights-future-blockchain-industry/,"Mon, 15 Jan 2018 08:42:52 +0000","Mor Assia represented iAngels on stage at the Globes Israel Business Conference in Jerusalem, discussing the advent of blockchain technology and the impact it’s already having on the worlds of finance, VC, and banking. *The following footage is in Hebrew.",other
iAngels Israeli Deal Digest – December 2017,https://www.iangels.com/2017/12/iangels-israeli-deal-digest-december/,"Sat, 30 Dec 2017 19:27:38 +0000","Welcome to the iAngels monthly Deal Digest, a summary of movements in the Israeli startup market. This month we are closing 2017 with 22 announced deals totaling in $780M, including the $450M raised by Compass and $120M raised by Lemonade. Read on for the full scoop!   December investment highlights   Seed Rounds   Splitty, a Travel tech company […]",fund
TheMarker’s 40 under 40 List names iAngels Co-Founder as ‘Inspirational Leader’,https://www.iangels.com/2017/11/themarkers-40-40-list-names-iangels-co-founder-inspirational-leader/,"Sun, 12 Nov 2017 16:35:17 +0000","The following interview was originally published in Hebrew in TheMarker here Like many other young people who decide to go on a trip after the army, Shelly Hod Moyal decided to pack and fly to the United States. But instead of selling mud from the Dead Sea in malls, she enrolled in a bachelor’s degree […]",other
"Founder Interview: Kobi Marenko, Arbe Robotics",https://www.iangels.com/2017/11/founder-interview-kobi-marenko-arbe-robotics/,"Wed, 08 Nov 2017 18:59:13 +0000","2017 has seen some big wins for the Israeli autonomous vehicle sector, with Mobileye’s sale for $15.3B at the beginning of the year and just last week, Argus, the Tel Aviv based autonomous cyber security startup was sold for a reported $430M. Founded in just 2013, its sale and that of Mobileye, demonstrates how rapidly […]",other
iAngels Israeli Deal Digest – October 2017,https://www.iangels.com/2017/11/iangels-israeli-deal-digest-october-2017/,"Sun, 05 Nov 2017 19:35:40 +0000","Welcome to the iAngels monthly deal digest, a summary of movements in the Israeli startup market. This October we tracked 23 announced deals totaling $439M, including one significant round of $150M, closed by Skybox Security, a global leader in analytics solutions for Cybersecurity management. On the M&A side, we tracked 4 exists, totaling in $796M, with Cybersecurity leading the way […]",Merge & Aquistion
iAngels Israeli Deal Digest – September 2017,https://www.iangels.com/2017/10/iangels-israeli-deal-digest-september-2017/,"Mon, 02 Oct 2017 09:31:18 +0000","Welcome to the iAngels monthly deal digest, a summary of movements in the Israeli startup market. This September we tracked 27 announced deals totaling $512M, including one significant round of $250M, closed by the ridesharing platform Via. On the M&A side, September saw only one exit, with Gigya being acquired by SAP for a reported $350M. Read on for […]",Merge & Aquistion
5 reasons why Bitcoin is not a bubble,https://www.iangels.com/2017/09/bitcoin-and-bubbles/,"Tue, 26 Sep 2017 15:08:26 +0000","By Shelly Hod Moyal Not a day passes without someone influential denouncing Bitcoin, often describing it as ‘a bubble’. Undeniably, bubbles do exist in the burgeoning world of cryptocurrencies but i’d argue that Bitcoin doesn’t fall into ‘the bubble’ category and instead question the skeptics’ motivations. Before diving into Bitcoin, it is important to differentiate […]",other
iAngels Israeli Deal Digest – August 2017,https://www.iangels.com/2017/09/iangels-2017-august-deal-digest/,"Tue, 12 Sep 2017 12:20:17 +0000","Welcome to the iAngels monthly deal digest, a summary of movements in the Israeli startup market. This August we tracked 24 announced deals totaling $405M, and one massive WeWork round of $4.4B bringing the total amount raised in August to $4.8B. On the M&A side, August was a great month for Israeli companies with  7 acquisitions for a disclosed $1.54B, including […]",Merge & Aquistion
Catching the Blockchain Giants,https://www.iangels.com/2017/08/catching-blockchain-giants/,"Mon, 28 Aug 2017 16:29:29 +0000","By Shelly Hod Moyal In light of the recent developments and volatility within cryptocurrency, several of our investors have approached us to hear our thoughts on the industry, wondering if and how they can profit from it.  The release of new SEC regulations, the forking of Bitcoin and the subsequent crypto rally, all support our […]",fund
iAngels 2017 July Deal Digest,https://www.iangels.com/2017/08/iangels-2017-july-deal-digest/,"Wed, 02 Aug 2017 19:55:26 +0000","Welcome to the iAngels monthly deal digest! This July we tracked 31 announced deals totaling $515M, alongside 10 acquisitions for a disclosed $801M, including 2 major acquisitions in the cyber space –  Skycure that was acquired for $275M, and FireGlass that was acquired for $250M. 4 iAngels investments were also announced including; Applitools, DBmaestro, Way2Vat and Inception VR, together with the exciting acquisition of portfolio […]",Merge & Aquistion
Introducing Investors of KamaTech’s 12 Angels Fund,https://www.iangels.com/2017/08/iangels-newsflash-kamatech-video/,"Wed, 02 Aug 2017 13:46:47 +0000","We’re very proud to have been able to support KamaTech and their 12 Angels Fund – an organization dedicated to helping ultra orthodox Jews integrate into Israel’s high tech scene. The Startup Nation eco-system has embraced them with open arms – the Israeli government, nearly every top investor and many of the world’s largest companies […]",fund
Part 1: Artificial Intelligence – movements in the market,https://www.iangels.com/2017/08/part1_ai_movements_in_the_market/,"Wed, 02 Aug 2017 13:16:48 +0000","By iAngels founder, Mor Assia For some time now we have been tracking the developments of Artificial Intelligence, watching as the technology has matured and the amount of mergers and acquisitions have steadily increased. As such, we will over the next few months be sharing a series of articles, focused on AI, starting with part […]",other
iAngels 2017 June Deal Digest,https://www.iangels.com/2017/07/iangels-2017-june-deal-digest/,"Tue, 04 Jul 2017 09:32:00 +0000","Welcome to the iAngels monthly deal digest! With companies such as Houzz (raised $400M) and Cybereason (raised $100M), this was a great month for Israeli startups with 29 announced deals raising $910M in venture capital, alongside 4 acquisitions for a disclosed $80M. This month we are also closing the first half of 2017, with $2.6B invested in Israeli startups. Read on […]",fund
The Basics of Blockchain Technology,https://www.iangels.com/2017/06/basics-blockchain-technology/,"Thu, 22 Jun 2017 14:16:28 +0000","Source: coinmarketcap.com The technology behind cryptocurrencies is called a “blockchain”, a continuously growing public ledger that tracks who owns which virtual coins. Imagine that, instead of a bank, there was simply a shared google spreadsheet with account names and account balances. That’s the blockchain. No single computer stores the blockchain alone, and no single entity owns […]",other
